0,1,2,3,4,5,6,7,8,9,10,11
96258,0,10,23948,137,52,52,0,137,0,0,0
344398,0,12,115948,71,52,1500,0,71,24,0,0
686376,0,14,189768,12,52,1189,0,11,4,0,1
668037,0,720,267929,8,52,1354,0,8,4,0,1
7662245,47135,11,7328858,123,3,259,0,122,3,0,1
315154,7379298,21,81027,31,52,1500,0,31,12,0,1
380948,0,435,106756,10,7,519,0,9,5,0,1
362369,0,419,143499,8,18,274,0,8,3,0,1
2187795,99869,11,1215811,44,40,1191,0,40,4,3,1
2280409,20,18,1347052,14,52,1500,0,14,7,0,1
14759857,0,12,1096397,385,0,1500,0,385,22,0,0
296752,0,12,65961,22,52,1500,0,20,7,0,2
280972,0,14,95839,23,52,1478,0,23,9,0,1
14745027,0,9,619765,474,52,52,0,474,0,0,0
191957,40155,21,49295,17,8,1288,0,17,5,0,0
200172,24635,23,83151,13,52,1478,0,13,8,0,1
450414,6648,20,235367,24,52,1500,0,23,7,0,1
425603,29013,21,105332,23,52,1478,0,23,8,0,1
570914,0,199,144814,8,52,765,0,7,4,0,1
807865,0,5969,267402,9,9,892,0,8,4,0,1
546384,0,45,179480,7,52,230,0,7,2,0,1
751309,0,19,210320,9,52,630,0,9,3,0,1
17275711,0,12,12478459,11,47,350,0,9,3,0,2
13570526,0,56,12480120,10,30,1500,0,10,3,0,1
82,0,82,82,2,52,83,0,2,1,0,0
868634,0,122,181037,14,9,973,0,13,4,0,1
470474,0,15,266905,6,52,1492,0,6,3,0,1
838169,0,129103,297601,5,52,103,0,5,2,0,1
3881548,0,17,2027408,12,33,289,0,12,5,0,1
1750505,0,605,154197,74,52,1480,0,73,5,0,1
1723080,0,28,209730,50,52,1260,0,50,4,0,1
8087059,0,24,8086998,4,52,98,0,4,3,0,0
8091056,0,42,8054768,4,52,98,0,4,2,0,0
834028,0,22,272265,17,42,298,0,16,7,0,1
795781,0,23,270701,14,47,1480,0,14,3,0,1
31217958,0,25,10507599,14,52,665,0,14,5,0,0
31118090,0,1890,10524967,9,52,250,0,9,8,0,0
707248,0,530,198000,9,52,1247,0,8,4,0,1
683090,0,55,266760,8,52,900,0,8,4,0,1
643633,0,8,272685,15,42,298,0,14,6,0,1
605976,0,14,293798,12,47,1480,0,12,4,0,1
261796,0,22,121350,6,52,1252,0,6,3,0,1
272135,0,21,70517,18,52,487,0,17,5,0,1
248118,0,24,99945,12,52,390,0,12,7,0,1
45454708,0,18,15335031,8,52,83,0,8,1,0,0
45679593,0,56,15335743,11,52,227,0,11,2,0,1
346095,0,23,118563,18,3,540,0,17,8,0,1
321870,0,24,98751,17,52,1480,0,17,7,0,1
60658314,31547,357,60292092,13,7,519,0,9,5,3,1
60692054,1305,43,60352738,9,18,274,0,9,3,0,1
3493975,0,23,2011017,11,33,289,0,11,5,0,1
60227203,483049,22,40123607,12,40,350,0,9,3,2,1
20205065,40269632,85,19590414,9,30,1500,0,9,3,0,1
612931,0,22,124025,12,52,249,0,11,3,0,1
57438409,135749,1568,56631188,13,52,1126,0,12,5,0,1
586946,0,1473,225264,6,52,230,0,6,2,0,1
262682616,0,28,56798169,62,52,1496,0,62,9,0,2
60351065,1777,22,59966544,15,42,298,0,14,6,0,1
60336075,18586,22,59996883,12,47,1480,0,12,2,0,1
60675734,0,2702,60642152,4,52,195,0,4,1,0,1
1122517,0,13,704835,17,12,524,0,16,6,0,1
1106432,0,13,790039,15,6,1410,0,15,11,0,1
1043899,0,39,278480,18,42,298,0,17,8,0,1
1021270,0,23,303903,16,47,1480,0,16,4,0,1
200228,0,34,90378,7,40,162,0,6,1,0,1
177391,0,32,121943,6,40,459,0,6,3,0,1
386135,373656,386135,386135,2,52,64,0,2,0,0,0
201880,0,25,66349,12,19,569,0,11,4,0,1
177738,0,33,52345,10,52,1167,0,10,3,0,1
634046,0,590,149909,11,43,569,0,10,4,0,1
603161,0,92621,243790,5,52,413,0,5,2,0,1
60656232,102283,22,15102951,18,40,569,0,15,4,2,1
60771628,23980,21,15056456,16,52,1500,0,16,3,0,1
41743300,238213,35,40365938,14,40,350,0,11,4,2,1
1241033,40509788,12,543068,10,30,1500,0,10,4,0,1
60831707,34019,466,60473367,14,7,519,0,10,5,3,1
60870752,1665,48,60539490,10,18,579,0,10,4,0,1
149594585358336,1765862,96757023247981,26388279066625,1626,152,0,108,15422,740,32,0
56632266,2153,14,53444957,65,52,1260,0,65,4,0,1
124385005,0,11,2271497,3898,0,1502,0,3897,162,0,1
124380275,0,7,639512,3950,22,305,0,3950,6,0,1
115360527,3097,1656,72879117,17,52,1350,0,17,12,0,1
41934282,0,2411,10666555,17,3,1395,0,17,14,0,1
147225275,0,1475,10191035,60,8,1336,0,60,27,0,1
147274968,0,1621,10206874,60,8,1352,0,60,27,0,1
115365004,773,202,72860033,24,18,1298,0,23,9,0,1
42370816,0,317,10674379,22,18,1298,0,21,8,0,1
147129530,0,202,10222292,52,18,1298,0,51,38,0,1
147184378,0,309,10234145,53,18,1298,0,52,38,0,1
735836,0,2139,145093,13,52,767,0,12,4,0,1
757276,0,21,147899,14,9,892,0,13,4,0,1
707588,0,124242,241455,5,52,230,0,5,2,0,1
699222,0,44,261691,6,52,630,0,6,3,0,1
351531,60813951,24,151093,14,42,298,0,13,6,0,1
61139301,22042,36,60844023,12,47,1480,0,12,3,0,1
5555811,83515,3514,4890153,10,9,973,0,9,4,0,1
5649908,18593,65,5002731,8,52,204,0,8,2,0,1
59349877,140247,14,58779986,17,42,298,0,16,6,0,1
59394163,192375,33,58950346,13,47,1480,0,13,3,0,1
62051742,59240242,13,61273660,16,52,1252,0,16,7,0,3
863998,0,55,166551,15,40,333,0,14,5,0,1
839685,0,39,290132,12,40,1200,0,12,3,0,1
60690726,111805,27,15005628,18,40,569,0,15,4,2,1
60725010,71462,819,14994745,14,52,227,0,14,3,0,1
42201890,120841,3114,41422592,11,52,1126,0,10,5,0,1
42322982,3649,31,41571086,10,52,1260,0,10,4,0,1
66770412,37360,222,66364000,13,7,519,0,9,5,3,1
66850698,2400,29,66454189,9,18,274,0,9,3,0,1
13816942,117881,27,12127414,70,41,1480,0,69,5,0,1
13962145,2540,28,12319746,48,52,1260,0,48,4,0,1
20502110,59365544,32,15628629,12,47,350,0,9,3,0,3
79967103,121993,29,62438029,10,30,1500,0,10,3,0,1
838732,0,19,266699,17,42,298,0,16,7,0,1
791153,0,16,286921,14,47,1480,0,14,3,0,1
628097,0,304,149898,11,43,569,0,10,4,0,1
592606,0,94173,240154,5,52,413,0,5,2,0,1
182789794,35371,31,182262693,15,42,298,0,14,6,0,1
182729209,18260,30,182341303,12,47,1480,0,12,2,0,1
638570,0,22,146791,21,47,718,0,19,6,0,2
480453,0,30,183526,8,46,313,0,8,3,0,2
27,65031,27,27,2,52,313,0,2,1,0,0
1484641,59779614,55,1350027,6,52,1252,0,6,3,0,1
71138949,0,10,649114,2324,5,1500,0,2323,101,0,1
71122758,0,7,654842,2310,22,305,0,2310,6,0,1
212044905,117290,35,211368954,14,52,765,0,13,4,0,1
743509,0,31,138133,14,9,892,0,13,4,0,1
406480500,0,23,211537464,14,52,230,0,14,5,0,2
706901,0,40,260230,6,52,630,0,6,3,0,1
30084732,131766,1835,29350890,12,52,1126,0,11,5,0,1
30187287,781,43,29485593,10,52,1260,0,10,4,0,1
61014267,105842,32,15332093,18,40,569,0,15,4,2,1
61027521,40031,83,15325806,13,52,227,0,13,3,0,1
42229456,215478,28,40309492,14,40,350,0,10,3,2,2
780282,41450700,30,224850,9,30,1500,0,9,4,0,1
243038370,0,35,242957711,4,52,408,0,4,2,0,0
253538025,0,45,242956393,7,4,516,0,7,2,0,1
206763281,19632,8,206373636,19,3,478,0,18,8,0,1
206806017,31,13,206445832,19,52,1480,0,19,7,0,1
7425198,0,25,2531004,13,52,425,0,11,5,0,2
7404344,0,47,2531629,13,25,1145,0,13,5,0,2
2032900,0,30,329100,30,40,1472,0,30,10,0,1
60310922,5731,18,59760378,15,42,298,0,14,6,0,1
60305031,23987,10,59796541,12,47,1480,0,12,2,0,1
103391337,84568,24,102358507,17,40,333,0,16,5,0,1
915144,102483042,24,288237,12,40,1200,0,12,3,0,1
60746509,110,43,60038107,16,42,298,0,15,7,0,1
60751962,115445,39,60066726,13,47,1480,0,13,3,0,1
56931253,97418,194,56196884,10,9,973,0,9,4,0,1
57053808,5118,57,56346658,8,52,204,0,8,2,0,1
22084236,90615,39,18995288,30,40,1472,0,27,6,2,1
3072164,19109418,32,830260,33,40,1472,0,33,14,0,1
3191077,0,1368,2888114,14,40,1500,0,13,6,0,1
3168981,0,32,2932970,14,40,1500,0,14,7,0,1
60500711,108709,54,14972142,18,40,569,0,15,4,2,1
60558472,49995,371,14976271,14,52,227,0,14,3,0,1
116773436,36774,1601,116370103,13,7,519,0,9,5,3,1
116779645,6052,51,116414564,9,18,274,0,9,3,0,1
20196713,58648196,20,16592908,12,47,350,0,9,3,0,3
79022705,122240,74,61705197,10,30,1500,0,10,3,0,1
303685781,10298323,42,243126672,7,52,242,0,6,1,0,1
660107,0,250,144884,11,43,569,0,10,4,0,1
605431,0,94279,244148,5,52,413,0,5,2,0,1
35612061,114434,57,26056372,33,40,1472,0,30,5,2,1
9537483,26191122,26,3436555,35,40,1165,0,35,15,0,1
182671018,21133,46,182310093,15,42,298,0,14,6,0,1
182695434,34303,21,182377626,12,47,1480,0,12,3,0,1
303754810,0,144,242970799,6,52,232,0,5,1,0,1
806596,0,34,193441,14,42,298,0,13,6,0,1
787531,0,42,338431,11,46,1480,0,11,2,0,1
59219946,0,15,646855,1734,2,1500,0,1733,77,0,1
59202582,0,7,647173,2022,22,305,0,2022,6,0,1
645879,0,61,143177,13,52,765,0,12,4,0,1
922530,0,28,287774,14,9,892,0,13,4,0,1
610349,0,116381,208589,5,52,230,0,5,2,0,1
874435,0,40,254468,8,52,630,0,8,3,0,1
3492016,99596,5516,2623644,10,9,973,0,9,4,0,1
3598745,6310,22,2747867,9,52,204,0,9,2,0,1
949007,73857655,39,178121,16,40,333,0,15,5,0,1
74728167,90879,59,73887137,13,40,1200,0,13,3,0,1
21708800,157929,46,19538187,31,40,1472,0,29,5,1,1
2151004,19719642,10,632540,29,40,461,0,29,12,0,1
125014961,115444,479,123426852,72,52,1480,0,71,5,0,1
125145100,4770,27,123585478,40,52,1260,0,40,4,0,1
1532016,7742,24,151824,72,52,1480,0,71,5,0,1
1534231,7966,22,173913,46,52,1260,0,46,4,0,1
2158134,0,17,1646908,18,12,524,0,17,6,0,1
2132027,0,14,1724898,16,6,1410,0,16,12,0,1
60929358,107271,41,15186737,18,40,569,0,15,4,2,1
60994286,51895,134,15198800,16,14,782,0,16,4,0,1
476953,0,22,125397,18,52,487,0,17,5,0,1
453371,0,24,145585,11,52,390,0,11,7,0,1
28678935,109137,34,27104640,30,40,1472,0,27,6,2,1
1551494,27234336,23,382415,33,40,1472,0,33,12,0,1
60726474,283776,70,40471707,17,40,350,0,11,5,2,4
13701854,47752638,598,11113987,10,30,1500,0,10,3,0,1
602857,0,18,123615,12,52,249,0,11,3,0,1
576044,0,1203,216856,6,52,230,0,6,2,0,1
1194,246050553,1194,1194,2,52,83,0,2,1,0,0
496229,680,496229,496229,2,60,83,0,1,1,0,1
399346,0,17,164019,14,42,298,0,13,6,0,1
328553,0,17,206994,10,47,559,0,10,2,0,1
243295064,0,30,243238035,7,52,214,0,7,2,0,1
224279,0,305,96931,7,40,162,0,6,1,0,1
122710112,71478,83,122179089,17,42,298,0,16,6,0,1
468120,122286235,152,204044,12,47,1480,0,12,4,0,1
188199,0,77,132619,6,40,459,0,6,3,0,1
55973404,0,7,712209,2053,22,305,0,2053,6,0,1
122055554,59832847,27,60681836,16,52,1252,0,16,7,0,3
261427,0,2703,153647,5,52,118,0,4,1,0,1
178819264,97334,37,178183865,14,52,765,0,13,4,0,1
200482,0,31,142470,4,52,361,0,4,1,0,1
684377,0,24,148524,14,9,892,0,13,4,0,1
178928490,9020,112294,178317678,6,52,230,0,6,2,0,1
652184,0,31,229744,6,52,630,0,6,3,0,1
12098255,259020,32,11691086,10,10,1298,0,10,4,0,0
60960846,0,794,60917320,4,52,195,0,4,1,0,1
