0,1,2,3,4,5,6,7,8,9,10,11
187798,0,1290,186508,3,22,278,0,3,1,0,1
371064,0,46037,185451,4,40,175,0,3,1,0,1
214884,0,62,214822,3,52,60,0,2,0,0,1
187355,0,187355,187355,2,52,60,0,2,0,0,1
189180,31064,43,182623,4,52,60,0,3,0,0,1
189134,27760,189134,189134,2,52,60,0,2,0,0,1
193318,16887,330,192543,4,52,60,0,3,0,0,1
206994,19155,206994,206994,2,52,60,0,2,0,0,1
2973016,0,22,1667016,25,6,1400,0,23,8,0,2
3012667,0,27,1933263,20,6,1400,0,20,6,0,2
9024268,0,31,5978757,38,12,1400,0,38,18,0,3
0,10147,20000000,0,1,40,40,0,1,0,0,0
0,188391,20000000,0,1,40,40,0,1,0,0,0
10462262,203678,1740,10309300,4,40,411,0,4,1,0,1
367162,10326234,678,212742,4,40,197,0,3,1,0,1
8772818,0,360,6159882,14,40,1400,0,14,6,0,1
9508062,0,30,5890149,20,40,1400,0,20,11,0,1
6118076,0,41,3331807,26,2,1400,0,24,8,0,2
6165545,0,67,3590501,21,40,1400,0,21,6,0,2
19566159,0,30,15958650,20,16,1400,0,20,11,0,1
19768628,0,42,15727837,25,40,1400,0,23,6,0,2
0,152003,20000000,0,1,40,40,0,1,0,0,0
1955874,40424,45,677771,21,16,1400,0,21,11,0,1
60788,2765,60788,60788,2,40,52,0,2,0,0,1
2607149,52,33,651994,26,40,1400,0,25,6,0,1
273280479,0,3350,273259872,4,52,135,0,4,1,0,1
130204031,2127,17,119827348,6861,52,1460,0,6861,331,0,2
333497042,224594,731,333378661,4,52,60,0,3,0,0,1
121685,333585713,546,121139,3,52,60,0,3,0,0,2
125923,1750,50,125873,3,52,60,0,2,0,0,1
2225,127757,2225,2225,2,52,60,0,2,0,0,1
123274,24,25,123193,4,52,60,0,3,0,0,1
0,121792,20000000,0,1,52,52,0,1,0,0,0
334996732,0,22,311103787,7,40,186,0,6,1,0,1
0,627368,20000000,0,1,40,40,0,1,0,0,0
0,879035,20000000,0,1,40,40,0,1,0,0,0
0,1760310,20000000,0,1,40,40,0,1,0,0,0
0,3530986,20000000,0,1,40,40,0,1,0,0,0
125451,0,2118,114887,4,22,278,0,4,1,0,2
238759,0,76,117850,7,40,197,0,5,2,0,2
621,5313,621,621,2,40,411,0,2,1,0,0
12192,47281,12192,12192,2,40,40,0,2,0,0,0
0,7056818,20000000,0,1,40,40,0,1,0,0,0
23127679,0,134,22980226,6,40,459,0,6,3,0,1
0,230748,20000000,0,1,40,40,0,1,0,0,0
0,14105443,20000000,0,1,40,40,0,1,0,0,0
0,28201384,20000000,0,1,40,40,0,1,0,0,0
8597967,0,20,5939318,18,40,1400,0,18,8,0,1
300475022,5478,180,300228627,5,52,60,0,4,0,0,1
136282,300345588,5467,130815,3,52,60,0,3,0,0,1
123571,1291,464,121804,4,52,60,0,3,0,0,1
121924,1378,121924,121924,2,52,60,0,2,0,0,1
143677,9720,11755,113334,4,52,60,0,3,0,0,1
300578516,0,80,277001963,8,40,186,0,7,1,0,1
137996,13087,137996,137996,2,52,60,0,2,0,0,1
0,360631,20000000,0,1,40,40,0,1,0,0,0
0,352352,20000000,0,1,40,40,0,1,0,0,0
0,699717,20000000,0,1,40,40,0,1,0,0,0
0,1401589,20000000,0,1,40,40,0,1,0,0,0
0,2810561,20000000,0,1,40,40,0,1,0,0,0
0,5635839,20000000,0,1,40,40,0,1,0,0,0
0,11252400,20000000,0,1,40,40,0,1,0,0,0
23196481,0,418,23067698,5,40,459,0,5,2,0,1
0,22474676,20000000,0,1,40,40,0,1,0,0,0
0,45043118,20000000,0,1,40,40,0,1,0,0,0
8666260,0,14,5358711,15,12,1400,0,15,7,0,1
300267385,0,20,291503151,27,13,1400,0,26,5,0,1
8661481,0,28,5940754,20,40,1400,0,20,8,0,1
300369932,119463,448,300251267,4,52,60,0,3,0,0,1
122485,300369673,122485,122485,2,52,60,0,2,0,0,1
120928,2008,379,120169,4,52,60,0,3,0,0,1
121445,684,121445,121445,2,52,60,0,2,0,0,1
124926,1928,1097,121756,4,52,60,0,3,0,0,1
300676738,0,413,277331634,7,40,186,0,6,1,0,1
244094,3431,244094,244094,2,52,60,0,2,0,0,1
0,334828,20000000,0,1,40,40,0,1,0,0,0
0,342158,20000000,0,1,40,40,0,1,0,0,0
0,680260,20000000,0,1,40,40,0,1,0,0,0
0,1362113,20000000,0,1,40,40,0,1,0,0,0
0,2728844,20000000,0,1,40,40,0,1,0,0,0
601287842,107463,2097,601106132,5,40,411,0,5,1,0,1
233263,601107707,1381,117990,4,40,197,0,3,1,0,1
0,5469171,20000000,0,1,40,40,0,1,0,0,0
0,10902413,20000000,0,1,40,40,0,1,0,0,0
23339628,0,715,23205342,5,40,459,0,5,2,0,1
0,21803737,20000000,0,1,40,40,0,1,0,0,0
0,43691229,20000000,0,1,40,40,0,1,0,0,0
300185181,244160,574,300067489,4,52,60,0,3,0,0,1
124092,300187155,1172,122920,3,52,60,0,3,0,0,2
120284,3301,763,119521,3,52,60,0,2,0,0,1
0,124628,20000000,0,1,52,52,0,1,0,0,0
127679,31,998,122404,5,52,60,0,4,0,0,1
300676949,0,394,277092324,7,40,186,0,6,1,0,1
170374,366,170374,170374,2,52,60,0,2,0,0,1
8573794,0,96,5960991,19,40,1400,0,19,8,0,1
0,496521,20000000,0,1,40,40,0,1,0,0,0
0,603507,20000000,0,1,40,40,0,1,0,0,0
0,1199952,20000000,0,1,40,40,0,1,0,0,0
0,2401411,20000000,0,1,40,40,0,1,0,0,0
0,4811550,20000000,0,1,40,40,0,1,0,0,0
1236582539,209158,1177,1236465253,4,22,278,0,4,1,0,1
228988,1236467639,5651,112884,4,40,175,0,3,1,0,1
0,9622047,20000000,0,1,40,40,0,1,0,0,0
23136411,0,1917,23012047,5,40,459,0,5,2,0,1
0,19247904,20000000,0,1,40,40,0,1,0,0,0
0,38491070,20000000,0,1,40,40,0,1,0,0,0
300165460,167607,908,300034897,4,52,60,0,3,0,0,1
126153,300159898,126153,126153,2,52,60,0,2,0,0,1
142827,23433,1614,98355,4,52,60,0,3,0,0,1
122692,42289,122692,122692,2,52,60,0,2,0,0,1
124314,3157,2005,116361,4,52,60,0,3,0,0,1
300572446,0,978,277272733,7,40,186,0,6,1,0,1
