0,1,2,3,4,5,6,7,8,9,10,11
20370873,0,13,14119781,751,22,534,0,751,1,0,150
58,19905,58,58,2,22,534,0,2,1,0,0
23,4796,23,23,2,22,534,0,2,1,0,0
31,23482,31,31,2,22,534,0,2,1,0,0
33,7490,33,33,2,22,534,0,2,1,0,0
119238769,16224,35,1888,4,22,534,0,4,2,0,0
119238769,16224,20000000,0,0,22,534,0,0,0,0,0
105,1751,105,105,2,22,534,0,2,1,0,0
36,7953,36,36,2,22,534,0,2,1,0,0
45,16009,45,475,3,22,534,0,3,2,0,0
119269322,16009,23,475,4,22,534,0,4,2,0,0
653,7307,653,653,2,22,534,0,2,1,0,0
34,11218,34,34,2,22,534,0,2,1,0,0
37,4758,37,37,2,22,534,0,2,1,0,0
53,3426,53,53,2,22,534,0,2,1,0,0
34,3770,34,34,2,22,534,0,2,1,0,0
119301570,3770,24,923,4,22,534,0,4,2,0,0
3111,3770,24,2949,6,22,534,0,6,3,0,0
39,7895,39,39,2,22,534,0,2,1,0,0
64,9425,23,64,3,22,534,0,3,2,0,0
0,16,20000000,0,1,52,52,0,1,0,0,0
33,6675,33,33,2,22,534,0,2,1,0,0
52,7770,20,32,3,22,534,0,3,2,0,0
0,20,20000000,0,1,52,52,0,1,0,0,0
29,3899,29,29,2,22,534,0,2,1,0,0
31,15989,31,31,2,22,534,0,2,1,0,0
0,7833,20000000,0,1,52,52,0,1,0,0,0
119364523,7833,18,31,3,22,534,0,3,1,0,0
8121,7833,18,8093,5,22,534,0,5,2,0,0
227,8016,227,227,2,22,534,0,2,1,0,0
119388818,5341,31,7744,5,22,534,0,5,3,0,0
0,19,20000000,0,1,52,52,0,1,0,0,0
0,19,20000000,0,0,52,52,0,0,0,0,0
28,32208,28,28,2,22,534,0,2,1,0,0
44,7875,44,44,2,22,534,0,2,1,0,0
55,9234,55,55,2,22,534,0,2,1,0,0
119453394,9234,18,7363,5,22,534,0,5,3,0,0
0,19,20000000,0,1,52,52,0,1,0,0,0
1448,15623,1448,1448,2,22,534,0,2,1,0,0
28,2419,18,28,3,22,534,0,3,2,0,0
0,17,20000000,0,1,52,52,0,1,0,0,0
32,15607,32,32,2,22,534,0,2,1,0,0
176,4408,176,176,2,22,534,0,2,1,0,0
55,19521,55,55,2,22,534,0,2,1,0,0
58,7282,58,58,2,22,534,0,2,1,0,0
34,8439,34,34,2,22,534,0,2,1,0,0
51,4234,51,51,2,22,534,0,2,1,0,0
31,11694,31,31,2,22,534,0,2,1,0,0
282,15928,282,282,2,22,534,0,2,1,0,0
40,8156,40,40,2,22,534,0,2,1,0,0
35,326264,35,35,2,22,534,0,2,1,0,0
114,5722,114,114,2,22,534,0,2,1,0,0
119901257,5722,24,145,4,22,534,0,4,2,0,0
24,3536,24,24,2,22,534,0,2,1,0,0
51,67728,51,51,2,22,534,0,2,1,0,0
29,7845,29,29,2,22,534,0,2,1,0,0
28,1953,28,28,2,22,534,0,2,1,0,0
119982968,1953,28,402,4,22,534,0,4,2,0,0
39,1631,39,39,2,22,534,0,2,1,0,0
119986403,1631,37,1739,4,22,534,0,4,2,0,0
22,25,22,22,2,22,534,0,2,1,0,0
119988548,25,22,2057,4,22,534,0,4,2,0,0
44,3924,17,27,3,22,534,0,3,2,0,0
0,18,20000000,0,1,52,52,0,1,0,0,0
23,990,23,23,2,22,534,0,2,1,0,0
17,18,17,17,2,22,534,0,2,1,0,0
54,6746,19,35,3,22,534,0,3,2,0,0
0,19,21,21,2,22,534,0,2,1,0,0
0,19,20000000,0,1,52,52,0,1,0,0,0
1338,21,1338,1338,2,22,534,0,2,1,0,0
120003003,21,25,2494,4,22,534,0,4,2,0,0
34,823,34,34,2,22,534,0,2,1,0,0
120005257,823,17,76,4,22,534,0,4,2,0,0
120020580,4899,22,10390,4,22,534,0,4,2,0,0
0,21,20000000,0,1,52,52,0,1,0,0,0
0,21,20000000,0,0,52,52,0,0,0,0,0
3215,21,3215,4704,3,52,52,0,3,0,0,0
3215,21,20000000,0,0,52,52,0,0,0,0,0
120028840,237,24,24,2,52,52,0,2,0,0,0
0,23,20000000,0,1,52,52,0,1,0,0,0
0,23,20000000,0,0,52,52,0,0,0,0,0
0,3863,20000000,0,1,52,52,0,1,0,0,0
120032783,34,23,23,2,52,52,0,2,0,0,0
0,25,20000000,0,1,52,52,0,1,0,0,0
0,25,20000000,0,0,52,52,0,0,0,0,0
0,11716,20000000,0,1,52,52,0,1,0,0,0
88,836298,27,61,3,22,534,0,3,2,0,0
120880852,836298,27,61,4,22,534,0,4,2,0,0
28,5657,28,28,2,22,534,0,2,1,0,0
87,10301,22,41,4,22,534,0,4,3,0,0
120896948,10301,22,41,5,22,534,0,5,3,0,0
0,24,20000000,0,1,52,52,0,1,0,0,0
22,25,22,22,2,22,534,0,2,1,0,0
58,1868,58,58,2,22,534,0,2,1,0,0
52,1458,52,52,2,22,534,0,2,1,0,0
39,950,39,39,2,22,534,0,2,1,0,0
139,11214,33,106,3,22,534,0,3,2,0,0
0,34,20000000,0,1,52,52,0,1,0,0,0
0,3602,20000000,0,1,52,52,0,1,0,0,0
45,36,22,23,3,22,534,0,3,2,0,0
0,1247,20000000,0,1,52,52,0,1,0,0,0
30,72,30,30,2,22,534,0,2,1,0,0
0,2451,20000000,0,1,52,52,0,1,0,0,0
0,4105,20000000,0,1,52,52,0,1,0,0,0
0,12091,20000000,0,1,52,52,0,1,0,0,0
0,12003,20000000,0,1,52,52,0,1,0,0,0
0,41,20000000,0,1,52,52,0,1,0,0,0
