0,1,2,3,4,5,6,7,8,9,10,11
20350543,68000852,14,14583300,751,22,534,0,751,1,0,150
80,3824,80,80,2,22,534,0,2,1,0,0
18,17008,18,18,2,22,534,0,2,1,0,0
28,7840,28,28,2,22,534,0,2,1,0,0
23,20788,23,23,2,22,534,0,2,1,0,0
193,11317,19,174,3,22,534,0,3,2,0,0
1113389194,11317,15,174,4,22,534,0,4,2,0,0
25,3811,25,25,2,22,534,0,2,1,0,0
22,4645,22,22,2,22,534,0,2,1,0,0
28,4107,28,28,2,22,534,0,2,1,0,0
30,15080,30,30,2,22,534,0,2,1,0,0
31,7747,31,31,2,22,534,0,2,1,0,0
166,8051,166,166,2,22,534,0,2,1,0,0
32,1456,32,32,2,22,534,0,2,1,0,0
23,6311,23,23,2,22,534,0,2,1,0,0
30,7989,30,30,2,22,534,0,2,1,0,0
140,4052,21,119,3,22,534,0,3,2,0,0
19,21,19,19,2,22,534,0,2,1,0,0
32,4572,32,32,2,22,534,0,2,1,0,0
20,21,20,20,2,22,534,0,2,1,0,0
19,21,19,19,2,22,534,0,2,1,0,0
23,15237,23,23,2,22,534,0,2,1,0,0
28,7935,28,28,2,22,534,0,2,1,0,0
44,13925,44,44,2,22,534,0,2,1,0,0
23,2003,23,23,2,22,534,0,2,1,0,0
15,20,15,15,2,22,534,0,2,1,0,0
1113525169,27924,29,43,4,22,534,0,4,2,0,0
28,4056,28,28,2,22,534,0,2,1,0,0
36,12239,36,36,2,22,534,0,2,1,0,0
86,3639,86,86,2,22,534,0,2,1,0,0
31,3729,31,31,2,22,534,0,2,1,0,0
58,922,58,58,2,22,534,0,2,1,0,0
37,4185,37,37,2,22,534,0,2,1,0,0
390,8002,390,390,2,22,534,0,2,1,0,0
88,333,31,57,3,22,534,0,3,2,0,0
67,8088,23,44,3,22,534,0,3,2,0,0
31,4077,31,31,2,22,534,0,2,1,0,0
72,480,72,72,2,22,534,0,2,1,0,0
1113625082,11923,80,86,3,22,534,0,3,1,0,0
54,79,54,54,2,22,534,0,2,1,0,0
21,27,21,21,2,22,534,0,2,1,0,0
72,11674,72,72,2,22,534,0,2,1,0,0
21,120,21,21,2,22,534,0,2,1,0,0
21,166,21,21,2,22,534,0,2,1,0,0
39,3320,39,39,2,22,534,0,2,1,0,0
68,474433,68,68,2,22,534,0,2,1,0,0
23,1499,23,23,2,22,534,0,2,1,0,0
18,2897,18,18,2,22,534,0,2,1,0,0
57,15,57,57,2,22,534,0,2,1,0,0
27,4891,27,27,2,22,534,0,2,1,0,0
30,4072,30,30,2,22,534,0,2,1,0,0
27,68221,27,27,2,22,534,0,2,1,0,0
64,1996,64,64,2,22,534,0,2,1,0,0
30,3012,30,30,2,22,534,0,2,1,0,0
28,6629,28,28,2,22,534,0,2,1,0,0
21,3852,21,21,2,22,534,0,2,1,0,0
11,110,11,11,2,22,534,0,2,1,0,0
10,105,10,10,2,22,534,0,2,1,0,0
47,3714,18,29,3,22,534,0,3,2,0,0
74,3937,34,40,3,22,534,0,3,2,0,0
54,4387,19,35,3,22,534,0,3,2,0,0
19,20,19,19,2,22,534,0,2,1,0,0
23,886634,23,23,2,22,534,0,2,1,0,0
21,5081,21,21,2,22,534,0,2,1,0,0
1115137084,3818,17,33,4,22,534,0,4,2,0,0
61,3961,13,48,3,22,534,0,3,2,0,0
27,14,13,14,3,22,534,0,3,2,0,0
13,18,13,13,2,22,534,0,2,1,0,0
52,3569,13,39,3,22,534,0,3,2,0,0
185,15952,37,148,3,22,534,0,3,2,0,0
19,21,19,19,2,22,534,0,2,1,0,0
54,52065,15,39,3,22,534,0,3,2,0,0
14,15,14,14,2,22,534,0,2,1,0,0
14,14,14,14,2,22,534,0,2,1,0,0
13,13,13,13,2,22,534,0,2,1,0,0
13,14,13,13,2,22,534,0,2,1,0,0
15,109,15,15,2,22,534,0,2,1,0,0
18,3675,18,18,2,22,534,0,2,1,0,0
18,110,18,18,2,22,534,0,2,1,0,0
14,72,14,14,2,22,534,0,2,1,0,0
14,60,14,14,2,22,534,0,2,1,0,0
68,3356,19,29,4,22,534,0,4,3,0,0
13,14,13,13,2,22,534,0,2,1,0,0
18,15,18,18,2,22,534,0,2,1,0,0
16,121,16,16,2,22,534,0,2,1,0,0
